ENSG00000261033.1	AC005730.2	Gene Expression
ENSG00000266126.1	AC005730.3	Gene Expression
ENSG00000262185.1	AC005736.1	Gene Expression
ENSG00000262888.1	AC005736.2	Gene Expression
ENSG00000254099.1	AC005740.3	Gene Expression
ENSG00000271871.1	AC005740.4	Gene Expression
ENSG00000267131.1	AC005746.2	Gene Expression
ENSG00000267044.1	AC005757.1	Gene Expression
ENSG00000268650.3	AC005759.1	Gene Expression
ENSG00000232058.1	AC005772.1	Gene Expression
ENSG00000266933.2	AC005775.1	Gene Expression
ENSG00000273218.1	AC005776.2	Gene Expression
ENSG00000268189.2	AC005785.1	Gene Expression
ENSG00000267231.1	AC005786.2	Gene Expression
ENSG00000267436.1	AC005786.3	Gene Expression
ENSG00000235415.1	AC005808.1	Gene Expression
ENSG00000265702.1	AC005821.1	Gene Expression
ENSG00000226797.1	AC005828.1	Gene Expression
ENSG00000263644.1	AC005828.3	Gene Expression
ENSG00000272921.1	AC005832.4	Gene Expression
ENSG00000255474.1	AC005833.2	Gene Expression
ENSG00000255639.2	AC005833.3	Gene Expression
ENSG00000261335.1	AC005837.1	Gene Expression
ENSG00000267168.1	AC005837.2	Gene Expression
ENSG00000277382.1	AC005837.3	Gene Expression
ENSG00000266538.1	AC005838.2	Gene Expression
ENSG00000256433.2	AC005840.3	Gene Expression
ENSG00000276718.1	AC005840.5	Gene Expression
ENSG00000258092.1	AC005841.1	Gene Expression
ENSG00000283297.1	AC005841.2	Gene Expression
ENSG00000256862.1	AC005842.1	Gene Expression
ENSG00000255775.1	AC005845.1	Gene Expression
ENSG00000267667.1	AC005856.1	Gene Expression
ENSG00000258114.1	AC005871.2	Gene Expression
ENSG00000267207.1	AC005884.1	Gene Expression
ENSG00000255595.2	AC005885.1	Gene Expression
ENSG00000264083.1	AC005899.1	Gene Expression
ENSG00000265139.1	AC005899.3	Gene Expression
ENSG00000265794.5	AC005899.4	Gene Expression
ENSG00000266385.1	AC005899.5	Gene Expression
ENSG00000274341.1	AC005899.6	Gene Expression
ENSG00000278668.1	AC005899.7	Gene Expression
ENSG00000279762.3	AC005899.8	Gene Expression
ENSG00000256654.3	AC005906.2	Gene Expression
ENSG00000278356.1	AC005911.1	Gene Expression
ENSG00000247011.2	AC005920.1	Gene Expression
ENSG00000249870.1	AC005920.2	Gene Expression
ENSG00000262967.1	AC005921.2	Gene Expression
ENSG00000267059.2	AC005943.1	Gene Expression
ENSG00000267469.1	AC005944.1	Gene Expression
ENSG00000267205.1	AC005954.2	Gene Expression
ENSG00000278627.1	AC005962.2	Gene Expression
ENSG00000283538.1	AC005972.4	Gene Expression
ENSG00000266869.1	AC005993.1	Gene Expression
ENSG00000241456.1	AC005996.2	Gene Expression
ENSG00000226824.6	AC006001.2	Gene Expression
ENSG00000236795.1	AC006004.1	Gene Expression
ENSG00000234215.2	AC006012.1	Gene Expression
ENSG00000236531.2	AC006013.1	Gene Expression
ENSG00000229591.1	AC006017.1	Gene Expression
ENSG00000203335.4	AC006019.1	Gene Expression
ENSG00000233363.1	AC006019.2	Gene Expression
ENSG00000270114.1	AC006019.3	Gene Expression
ENSG00000272638.1	AC006027.1	Gene Expression
ENSG00000264324.1	AC006030.1	Gene Expression
ENSG00000272908.1	AC006033.2	Gene Expression
ENSG00000227719.1	AC006042.1	Gene Expression
ENSG00000233108.1	AC006042.2	Gene Expression
ENSG00000234141.1	AC006042.4	Gene Expression
ENSG00000230084.5	AC006059.1	Gene Expression
ENSG00000284513.1	AC006063.2	Gene Expression
